Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
3,8,25,1143,2,0.08418752844788349,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.007289658683354021,0.08184291318467689,0.22696258560338842,0.23402421823124103,0.15822870595083371,0.14472351124117297,0.4630235645767525
2,9,11,317,6,0.015489303595812473,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0026260467906252896,0.12081226435927483,0.19207371050780575,0.05313960691558258,0.3510308431406172,0.24873836746135247,0.3470911824824477
2,5,36,562,2,0.07087391898042786,4,4,0.85,2,200,500,"3-Random","4-Random",0.002067024432850458,0.10114001632163616,0.2924457485257332,0.044711919973517054,0.20339526192848228,0.3103306703235126,0.4415621477744881
2,2,39,1016,7,0.06235320892125627,4,4,0.85,11,200,500,"3-Random","4-Random",0.0018920054148800806,0.054787652689887896,0.04119645198507186,0.05515677595152262,0.10465277778504202,0.2463150083208182,0.5938754379426172
2,6,3,103,4,0.09803368229403733,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0033393450040467253,0.11592514924809189,0.1516379874919936,0.11572548263291978,0.31457718952008634,0.1454141162980002,0.4242832115489935
3,8,6,776,3,0.07779699590350478,4,4,0.85,2,200,500,"3-Random","4-Random",0.0008544923386712272,0.0820737445461545,0.05820236567459943,0.03289242408159964,0.20345575301752894,0.10682103071106527,0.6568307921898061
3,1,26,1475,4,0.0351934456076468,4,4,0.85,0,200,500,"3-Random","1-(s,Q)",0.0032218122071102037,0.2130540579774719,0.007523419518230382,0.04021688674299606,0.06890780860909575,0.39850966889548756,0.49236563575242065
2,6,10,195,3,0.06448338643604917,4,4,0.85,8,200,500,"3-Random","1-(s,Q)",0.0035161615236699935,0.11629556578569783,0.18940555145244078,0.0739316092431558,0.28770441994573387,0.23127800222755324,0.4070859685835571
2,3,2,1449,2,0.057560309512972245,4,4,0.85,7,200,500,"3-Random","1-(s,Q)",0.0021407552071826866,0.00032085390629645836,0.01709404691855705,0.2820784000371958,0.1115147971625031,0.09721889341241283,0.5091879093878883
3,4,13,1388,12,0.050104688211197096,4,4,0.85,15,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0015912418754487473,0.05393639801107765,0.020514381539833308,0.07220487193297943,0.1762101247429639,0.14585093133880142,0.6057340719852552
2,2,24,806,12,0.03679107874374147,4,4,0.85,6,200,500,"3-Random","1-(s,Q)",0.002484501961614073,0.15128115487562452,0.0,0.040039835886759904,0.1029982925797457,0.3114186118301479,0.5455432597033465
3,3,11,1265,10,0.09909877105143378,4,4,0.85,10,200,500,"1-DailyPurchase","1-(s,Q)",0.009937919623259765,0.18228096666050458,4.3901767695132384e-05,0.015102736347528496,0.04195767001991808,0.06517383030146864,0.8777657633310848
2,9,27,15,12,0.023477469276285846,4,4,0.85,11,200,500,"1-DailyPurchase","2-(s,S)",0.0009100127401783625,0.12949429674285468,0.7172952859353411,0.0023252710682817035,0.5286018496045337,0.25915058811851993,0.2099222912086647
2,5,37,1414,14,0.02773782430587164,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","4-Random",0.001127742473600912,0.07667612714498293,0.008766561078732903,0.03694561301215819,0.1647956234640492,0.21981147747501742,0.5784472860487753
3,4,19,531,7,0.0224123805188894,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0029910983030345282,0.11548820366573219,0.23309605753111307,0.05973634660627659,0.22041516651777524,0.24041827017079878,0.4794302167051494
1,10,13,658,2,0.044246700045516625,4,4,0.85,13,200,500,"1-DailyPurchase","2-(s,S)",0.003516650754622049,0.09394247218130057,0.34956080426159747,0.15641192386186734,0.33950694427483996,0.2573662526971649,0.2467148791661278
3,4,24,77,1,0.024050978607191627,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.006311913737178925,0.40181893938305485,0.8790177913376739,0.052265207355218994,0.3039766016611281,0.44751481108707053,0.19624337989658244
2,10,34,959,10,0.03625853436504325,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.002226130155321349,0.08421342558087674,0.13454449622060638,0.06173118743106651,0.24742379855378455,0.24521122777673998,0.44563378623840905
2,8,22,474,10,0.08578516158397816,4,4,0.85,1,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0006904419615900273,0.064519311371485,0.0013101411794968596,0.026735714726549446,0.25085185502182317,0.204110115347454,0.5183023149041734
3,1,38,164,8,0.0160218479745107,4,4,0.85,4,200,500,"3-Random","4-Random",0.0010280382043599363,0.1545739944827698,0.4409267175181734,0.013527905865815289,0.14116508045513293,0.592473605331765,0.25283340834728674
2,1,21,872,3,0.05116977696859354,4,4,0.85,13,200,500,"1-DailyPurchase","2-(s,S)",0.0018663072824235307,0.05546687714624584,0.03156791645389852,0.10571359090781506,0.12683289006596724,0.320093735709316,0.44735978331690185
2,6,22,1204,6,0.09164314974965863,4,4,0.85,3,200,500,"3-Random","4-Random",0.00218228116680121,0.11584729664141324,0.0017241682261054444,0.028524678116134208,0.13993927919871116,0.17811523971088805,0.6534208029742665
2,8,4,1051,8,0.09217569412835687,4,4,0.85,10,200,500,"1-DailyPurchase","1-(s,Q)",0.00020608935723451414,1.7665055407988474e-05,0.0,0.018441509637782585,0.09498473666883336,0.04508839777857015,0.8414853559148139
3,9,18,409,5,0.0714064633591261,4,4,0.85,8,200,500,"1-DailyPurchase","1-(s,Q)",0.0009853050101959638,0.11320201139355017,0.0087257099264131,0.0120697179426756,0.18511593901940063,0.13465941838523218,0.6681549246526917
2,7,16,592,11,0.02986800182066455,4,4,0.85,5,200,500,"3-Random","4-Random",0.0004909815481823804,0.09053298535688965,0.004467984724818104,0.018991769259696464,0.26999101121847996,0.19465483467784758,0.5163623848439761
1,2,25,623,6,0.078329540282203,4,4,0.85,9,200,500,"1-DailyPurchase","1-(s,Q)",0.001316916153629801,0.10321879890156743,0.001351730840225036,0.026562133437667883,0.10783093677189019,0.2817205609612024,0.5838863688292396
1,3,14,990,5,0.08472007282658171,4,4,0.85,3,200,500,"3-Random","4-Random",0.0019348661726336445,0.09507970938653951,0.0051225167145041006,0.04555635484501015,0.20757864990134198,0.2340116192933823,0.5128533759602657
3,7,5,444,15,0.03732362312243969,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.00018796774950351615,0.09323842733906307,0.00642532228789666,0.005107328067305304,0.12483088535295814,0.05823169102677623,0.8118300955529604
2,5,2,719,5,0.0448202093764224,4,4,0.85,5,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0005031482670479236,0.06210804242048599,0.03212155871180969,0.05867484783673881,0.25547426233011916,0.11868794841456,0.567162941418582
2,5,33,837,7,0.08525261720527993,4,4,0.85,9,200,500,"1-DailyPurchase","1-(s,Q)",0.0020407017465619653,0.13686854821092195,0.0011298494865837067,0.015487975852175226,0.11378055801518334,0.1703171118020949,0.7004143543305464
2,4,13,138,5,0.03150659990896677,4,4,0.85,10,200,500,"3-Random","4-Random",0.0040939052415748115,0.1995869500313622,0.5383453278434331,0.04664731962755226,0.3941445442601421,0.33701306481030047,0.22219507130200514
1,6,19,1479,11,0.01655439235320892,4,4,0.85,11,200,500,"1-DailyPurchase","1-(s,Q)",0.0011106012762011409,0.11824165894720677,0.0014414932965459472,0.016558195795678958,0.2400554018226215,0.2429796452414415,0.5004067571402581
3,3,30,688,11,0.09270823850705509,4,4,0.85,1,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.000996100048012368,0.05714713882532216,0.012908933304396417,0.04324970308259691,0.1966380905566848,0.28787716591293255,0.4722350404477857
3,5,31,1021,13,0.0437141556668184,4,4,0.85,6,200,500,"3-Random","1-(s,Q)",0.002018608817710461,0.10700522108681078,0.0005673202581106483,0.019387635851064147,0.08529723356182173,0.1368080516679339,0.7585070789191803
2,1,16,1331,15,0.017127901684114703,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0010542470158445335,0.05860228220766059,0.023232724922896117,0.041310452761411154,0.163211132881705,0.30649515681037626,0.4889832575465075
1,2,7,46,7,0.07193900773782431,4,4,0.85,15,200,500,"1-DailyPurchase","2-(s,S)",0.002408296690580884,0.10050320040673194,0.2338947579343434,0.019553837193097803,0.3139293367112972,0.2639335651216889,0.40258326097391606
3,2,4,321,11,0.07943559399180702,4,4,0.85,7,200,500,"3-Random","4-Random",0.000850846862374374,0.06805268271589802,0.0243973474015687,0.027825383921045874,0.17504988433052182,0.12692830285676712,0.6701964288916653
2,9,8,1117,14,0.01020482476103778,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.00013049710291762574,0.06639755368064218,0.007661821526604193,0.02431504347455045,0.3451374269136508,0.1642547502209263,0.4662927793908724
2,9,30,1418,7,0.09856622667273555,4,4,0.85,4,200,500,"3-Random","4-Random",0.001773707427989917,0.097788704688351,0.0008900177004866735,0.041296901056278715,0.2063829551223883,0.23004677622500544,0.5222733675963275
1,7,32,291,2,0.03097405553026855,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.003618979466704916,0.15986575293225916,0.665129234655631,0.05181077633360377,0.39757235135108987,0.3819490271488169,0.16866784516648936
1,3,33,1357,3,0.09111060537096041,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.008092917470491972,0.14363867934279065,0.17883830324470165,0.25607207426692125,0.15706020867577342,0.2633483278870484,0.323519389170257
1,8,39,1235,15,0.05063723258989532,4,4,0.85,7,200,500,"3-Random","1-(s,Q)",0.002259877402987323,0.11025169274833184,0.0,0.037743892070767615,0.16694258460623024,0.23525418397213463,0.5600593393508675
1,6,38,903,12,0.09963131543013201,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0010249478312625855,0.058884582429098324,0.0017594843850333292,0.045326683258745226,0.22609749649339786,0.2752917159822085,0.4532841042656484
2,5,14,260,9,0.07886208466090124,4,4,0.85,0,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0005782249110364066,0.07773874752013249,0.03247127092827385,0.022947946653085236,0.2262375117723504,0.2054367994535404,0.545377742121024
2,4,35,230,14,0.03040054619936277,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.0008819715031966036,0.11273033057613419,0.02588511988606462,0.0090383756390586,0.272668389282851,0.38387019361666885,0.3344230414614214
1,9,24,1025,5,0.018192990441511153,4,4,0.85,1,200,500,"1-DailyPurchase","1-(s,Q)",0.0006841896397926368,0.12043598511484917,0.0072400971622374015,0.005129225557303591,0.3609060829523638,0.3117707230303973,0.3221939684599353
2,7,15,1208,11,0.0661219845243514,4,4,0.85,13,200,500,"3-Random","1-(s,Q)",0.012378135227330719,0.1488181447894844,0.0,0.08010439305976823,0.1372278179432073,0.1503088007978442,0.6323589881991803
2,8,19,750,14,0.09328174783796087,4,4,0.85,8,200,500,"3-Random","4-Random",0.002381028400222689,0.11137985426382767,0.0005698426455817795,0.027480547167101525,0.13627534493314816,0.13969703974467748,0.6965470681550727
2,9,34,107,10,0.07251251706873009,4,4,0.85,7,200,500,"3-Random","3-(R,S)",0.0019298458823953045,0.10688878100820493,0.3127411106158343,0.018303889385689213,0.30115104131673665,0.31758266868542473,0.3629624006121495
3,7,36,1300,6,0.0650159308147474,4,4,0.85,14,200,500,"1-DailyPurchase","2-(s,S)",0.0015492085037397737,0.08535305969662628,0.00486162054431547,0.02477443809886778,0.13100323096901414,0.14632745503503355,0.6978948758970844
1,5,12,535,13,0.08635867091488394,4,4,0.85,8,200,500,"3-Random","4-Random",0.001484729122719058,0.11076966703598876,0.0003452838306743903,0.0418414807779141,0.2034786583242871,0.20678959701637079,0.5478902638814281
2,3,27,964,1,0.010737369139736004,4,4,0.85,9,200,500,"3-Random","4-Random",0.009131904113692864,0.2303059299911534,0.45468263634204176,0.2565948395057839,0.15958398566273468,0.3669384439327884,0.216882730898693
2,7,21,352,6,0.0384296768320437,4,4,0.85,11,200,500,"3-Random","4-Random",0.002032964106154326,0.08870825502500981,0.1419830455664267,0.044759739009517255,0.291085184235759,0.26277822706325143,0.40137684969147225
