,Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,1-DailyPurchase,2-PeriodicallyPurchase,3-Random,"1-(s,Q)","2-(s,S)","3-(R,S)",4-Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
693,1.0,9.0,14.0,553.0,3.0,0.0186845698680018,4.0,4.0,0.85,11.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0007313636402142,0.0797511706653098,0.0302531757533696,0.0401758791002603,0.4577636153389597,0.2597603212000678,0.242300184360712
694,2.0,10.0,10.0,278.0,12.0,0.0937733272644515,4.0,4.0,0.85,3.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0003597775406544,0.0453682434767982,0.0032467373785716,0.0225526231470622,0.1703496672630809,0.1301587401249742,0.6769389694648825
695,3.0,5.0,33.0,211.0,12.0,0.030933090578061,4.0,4.0,0.85,7.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0011501916242579,0.0929180966515165,0.1701624131112931,0.0230532142934596,0.2388357388454873,0.3491682146445326,0.3889428322165203
696,1.0,6.0,28.0,431.0,9.0,0.0932407828857533,4.0,4.0,0.85,11.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0032387579156587,0.0933969718651667,0.0803882192796166,0.0744759031727845,0.2582576283539186,0.2847027683683792,0.3825637001049176
697,2.0,9.0,31.0,1104.0,8.0,0.0730040964952207,4.0,4.0,0.85,1.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0015551479183828,0.087969325126096,0.0,0.0299015307796454,0.2175216756738409,0.2306934518534162,0.5218833416930974
698,2.0,9.0,36.0,645.0,11.0,0.0106964041875284,4.0,4.0,0.85,12.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0014209584485238,0.122563512601929,0.1571280474356019,0.030757724321995,0.3548580936241826,0.2919723266024754,0.3224118554513469
699,1.0,3.0,16.0,675.0,6.0,0.0591579426490669,4.0,4.0,0.85,0.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0009039865275586,0.0862525546882597,0.0012940261324271,0.034195178811931,0.1880153330679604,0.2759772002765069,0.5018122878436015
700,1.0,7.0,2.0,63.0,11.0,0.0868502503413746,4.0,4.0,0.85,2.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.3738292875412426e-05,0.0093885188912786,0.0183605199379835,0.0232775604589552,0.3852728693170054,0.1622389758624275,0.4292105943616117
701,2.0,4.0,10.0,1226.0,1.0,0.087915339098771,4.0,4.0,0.85,1.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0054922865681285,0.1191449133935106,0.0453884149079479,0.2771406468572365,0.0770139077533721,0.0670059795324235,0.5788394658569678
702,3.0,8.0,19.0,94.0,6.0,0.0458443331816112,4.0,4.0,0.85,6.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007954889149448,0.0876013498379895,0.0965389047919997,0.0049306774909238,0.3322019185214435,0.2578177719463749,0.4050496320412578
