,Unnamed: 0,Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_fac,lost_ratio_sales_dis,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative,lost_ratio_sales_fac_real,lost_ratio_sales_dis_real,lost_ratio_sales_ret_real,stock_customer_MA_mean_relative_real,stock_distributor_MA_mean_relative_real,stock_retailer_MA_mean_relative_real,stock_factory_MA_mean_relative_real
7,7,2,10,34,0.0560692693323627,0.0763973728040309,0,1,0,0,1,0,0,1.534755616946728e-09,0.0544422186245978,0.2578508797351414,0.2231403953221621,0.4437176534128566,0.002293863801665329,0.10389087444051161,0.0013188069306348791,0.029602518132508884,0.17176063694780846,0.2077616702292482,0.5908751746904344
18,18,2,10,40,0.066413821792048,0.0801047810857472,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929046999,0.2490790305506549,0.4261186059848514,0.001167788219719919,0.08305933655845975,0.0010899904412624006,0.026594181668396364,0.19692865382321845,0.20225049088542962,0.5742266736229555
20,21,2,10,40,0.066413821792047,0.0801047810857472,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929046999,0.2490790305506722,0.4261186059848464,0.02433125041431597,0.0791890543380977,0.0014155788865193378,0.02750183562635196,0.17640444763303778,0.2025481907000973,0.5935455260405129
24,25,2,10,40,0.0664138217920433,0.080104781085744,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929047104,0.2490790305506748,0.4261186059848383,0.0024201496806755154,0.08205638017679091,0.0011647341997985008,0.026665415177110862,0.1887182853865202,0.1992623490453092,0.5853539503910596
23,24,2,10,40,0.066413821792049,0.0801047810857475,0,1,0,0,1,0,0,2.531049577364625e-09,0.0541612429808432,0.2495463929047222,0.2490790305506676,0.4261186059848258,0.001355126883223339,0.10905109786891563,0.0016660310956960764,0.027593502575444906,0.18583184398122587,0.20010164514240167,0.5864730083009275
27,28,2,10,40,0.0664138217920461,0.0801047810857472,0,1,0,0,1,0,0,2.53104957736563e-09,0.0541612429808518,0.2495463929047354,0.2490790305506816,0.4261186059848203,8.451766030398849e-05,0.1054486980284565,0.0016395446632894556,0.027905823002510866,0.17082773506552812,0.20649154237965756,0.5947748995523036
22,23,2,10,40,0.0664138217920551,0.080104781085743,0,1,0,0,1,0,0,2.531049577365992e-09,0.0541612429808431,0.2495463929047362,0.2490790305506832,0.4261186059848434,0.002149233234149691,0.0789381055678657,0.0009378947597682624,0.027373327883780954,0.19612030077146614,0.2055886311478082,0.5709177401969446
12,12,2,10,40,0.0664138217920473,0.080104781085738,0,1,0,0,1,0,0,2.531049577366001e-09,0.0541612429808429,0.2495463929047272,0.249079030550683,0.4261186059848151,0.001720355150575117,0.1181079022190304,0.0016164482070047189,0.02806570095660801,0.18446260039503978,0.20238394669227147,0.5850877519560808
9,9,2,10,40,0.0664138217920427,0.0801047810857491,0,1,0,0,1,0,0,2.53104957736601e-09,0.0541612429808465,0.2495463929047137,0.2490790305506822,0.4261186059848151,0.002071678614822248,0.09017110265463321,0.0013125102751967935,0.02529857823054641,0.18448392620235535,0.1981644470475259,0.5920530485195723
14,14,2,10,40,0.0664138217920444,0.080104781085748,0,1,0,0,1,0,0,2.531049577366019e-09,0.0541612429808422,0.2495463929047348,0.2490790305506869,0.4261186059848395,0.0014067534228746968,0.0801512677933403,0.0010306768303656065,0.027209110125547723,0.1918626753066501,0.19876066871500309,0.5821675458527991
16,16,2,10,40,0.0664138217920561,0.0801047810857323,0,1,0,0,1,0,0,2.531049577366046e-09,0.0541612429808511,0.2495463929047306,0.2490790305506581,0.4261186059848168,0.0014200571052564786,0.07546385101447455,0.0010060277577226245,0.026727672892563878,0.20085966314106646,0.19471796909007155,0.5776946948762981
13,13,2,10,40,0.0664138217920401,0.0801047810857494,0,1,0,0,1,0,0,2.531049577366092e-09,0.0541612429808423,0.2495463929047013,0.2490790305506623,0.4261186059848177,0.0022205553667008033,0.08279031005384273,0.0012995410214622436,0.027084981017981125,0.2031362206873783,0.2004487417641401,0.5693300565305005
15,15,2,10,40,0.0664138217920405,0.0801047810857493,0,1,0,0,1,0,0,2.531049577366092e-09,0.0541612429808424,0.2495463929047232,0.2490790305506632,0.4261186059848174,0.0006061419633017749,0.09164452111787641,0.001331294163976534,0.027756075375306506,0.17600086012549945,0.20650883174110368,0.5897342327580904
8,8,2,10,40,0.0664138217920559,0.080104781085745,0,1,0,0,1,0,0,2.5310495773661e-09,0.0541612429808411,0.2495463929047131,0.2490790305506894,0.4261186059848424,0.00043745607994171,0.13578875367577073,0.0020335210299314743,0.028457976499327457,0.17060387840542526,0.21681341083450234,0.5841247342607448
10,10,2,10,40,0.0664138217920427,0.080104781085747,0,1,0,0,1,0,0,2.531049577366109e-09,0.0541612429808423,0.2495463929047016,0.2490790305506871,0.4261186059848483,0.00019231164157156548,0.12249278542710842,0.0017070080840489632,0.026553745495066363,0.16578164159303388,0.1999459197748147,0.607718693137085
5,5,2,10,40,0.06641382179206,0.0801047810857471,0,1,0,0,1,0,0,2.531049577366829e-09,0.0541612429808443,0.2495463929047148,0.2490790305506657,0.4261186059848134,0.0029043624226604814,0.09949738656385027,0.0014587884725587006,0.026692634908292663,0.18980544568062618,0.2088859951663948,0.5746159242446863
21,22,2,10,40,0.0715159638194158,0.0802360934317441,0,1,0,0,0,1,0,2.689494329315109e-09,0.0568247540235751,0.2473583928504989,0.2460479649759782,0.4293255938274724,0.0024563553938349047,0.09265734438793714,0.001222482138117098,0.025982362908776268,0.19228988161006513,0.19611041712879246,0.5856173383523662
11,11,2,10,40,0.0715159638194222,0.0802360934317288,0,1,0,0,0,1,0,2.689494329316342e-09,0.0568247540235778,0.2473583928505139,0.2460479649759973,0.4293255938274843,0.0006065535545146748,0.08698661538304922,0.0010717731397237521,0.027247673383831935,0.19144369869042385,0.21219432060963195,0.5691143073161122
