Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
3,5,15,944,8,0.08348700179269397,4,4,0.85,9,200,500,"1-DailyPurchase","1-(s,Q)",0.0016144648131089223,0.10709174077083171,0.0016494201812268705,0.011301312687290635,0.0674461045480769,0.08123811865002627,0.8400144641146061
1,2,13,590,12,0.08875662576369041,4,4,0.85,2,200,500,"1-DailyPurchase","1-(s,Q)",0.003566187387631679,0.14108097558390134,0.0006752566396456004,0.010588698422806317,0.08698496032657863,0.1722131664893753,0.7302131747612397
1,7,13,1481,9,0.0529686602850718,4,4,0.85,9,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.003220044061420202,0.0700486772597938,0.0,0.10708499126766487,0.14706364724464005,0.17051237696820382,0.5753389845194912
3,6,30,573,4,0.016561624646683825,4,4,0.85,9,200,500,"3-Random","1-(s,Q)",0.0027498397797434456,0.13788597192441737,0.24061328406767574,0.04006412571629994,0.2536860825357535,0.292688836181198,0.4135609555667485
2,5,31,926,7,0.021490953353860538,4,4,0.85,9,200,500,"2-PeriodicallyPurchase","4-Random",0.0015287655663087905,0.08214976371771028,0.19302620535885454,0.05256271403336644,0.23289109900936214,0.2990479867067255,0.4154982002505459
2,5,18,636,6,0.042651764235601186,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0014963696032920131,0.0686692767362156,0.1263554904201335,0.05621166245062754,0.24995475998123984,0.24268928531055153,0.4511442922575811
2,1,20,1050,11,0.0890459849975849,4,4,0.85,3,200,500,"1-DailyPurchase","3-(R,S)",0.0008648151528199771,0.05856369717564958,0.0071536174273793465,0.010798785952218528,0.11323972117545004,0.2067678344557996,0.6691936584165319
1,6,3,497,12,0.07428645154024377,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","4-Random",0.00022308099019419258,0.016932892009083503,0.011326551198188905,0.058138706747050906,0.2708284061129691,0.12596256297660147,0.5450703241633786
2,9,36,1334,7,0.04543051935393152,4,4,0.85,7,200,500,"3-Random","4-Random",0.0015067652414012809,0.10944597433823333,0.0018368867125908947,0.03596223336966559,0.18893542107325886,0.2161365073628174,0.5589658381942582
1,9,34,1043,15,0.05854589194613745,4,4,0.85,2,200,500,"1-DailyPurchase","4-Random",0.0011542488397919724,0.0984219295024848,0.0,0.007557746879389415,0.216206337945195,0.20814977538128146,0.5680861397941342
2,5,19,1254,12,0.055451820615979246,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0015157646638866466,0.054967446105145513,0.00449910787446608,0.05140761743679636,0.1729342574702228,0.16927428971057074,0.60638383538241
2,9,22,1086,13,0.09401041926781761,4,4,0.85,8,200,500,"1-DailyPurchase","2-(s,S)",0.000688103000314429,0.06841689852915195,7.915699528341834e-05,0.009026926929875483,0.14457072078169156,0.12261163364344176,0.7237907186449911
2,10,22,1169,14,0.026643246027772148,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0009744891085873574,0.0741390587918582,0.0007566922869496689,0.0360579872467696,0.1818707548210672,0.17573841147427202,0.6063328464578911
3,2,17,1454,14,0.09314341239497041,4,4,0.85,6,200,500,"1-DailyPurchase","3-(R,S)",0.0006082555426138669,0.03401343534212301,0.00019544798049101278,0.013051428547348433,0.12351752802772717,0.1623671901019166,0.7010638533230077
1,5,13,622,7,0.012780652040195723,4,4,0.85,2,200,500,"1-DailyPurchase","3-(R,S)",3.7016492188447204e-05,0.08257470279533041,0.01901909511870502,0.0036895228131086032,0.40758154559706256,0.2623297159336073,0.3263992156562215
3,8,16,583,3,0.054636260678632594,4,4,0.85,1,200,500,"3-Random","3-(R,S)",0.0011793575014300913,0.08786880640790923,0.028628264640569966,0.029502175054729306,0.2636911742283779,0.18227918629800224,0.5245274644188904
2,9,7,1316,3,0.07748218939325513,4,4,0.85,7,200,500,"3-Random","2-(s,S)",0.0012316072816867844,0.07084186294252169,0.03860934761946018,0.09014193452810569,0.2328127631975551,0.12457499625736565,0.5524703060169737
2,6,21,305,6,0.01886426020920448,4,4,0.85,12,200,500,"3-Random","4-Random",0.002221461068631566,0.14614388482358373,0.37206754239128154,0.037191118949234776,0.3269917009843026,0.3119372800576356,0.32387990000882694
2,10,30,811,5,0.06312850152717496,4,4,0.85,10,200,500,"1-DailyPurchase","3-(R,S)",0.0011801502521543634,0.0929055287473583,0.006241848772225927,0.021792357052461925,0.2516655470873635,0.21323824692599738,0.5133038489341772
2,3,12,959,3,0.08016107175365501,4,4,0.85,11,200,500,"3-Random","4-Random",0.004615015150954837,0.11403272090099928,0.12401794342392895,0.21990190319408798,0.20180125003676347,0.21891084009052153,0.359386006678627
1,10,26,259,2,0.08571756397660525,4,4,0.85,0,200,500,"3-Random","2-(s,S)",0.0,0.0,0.0,0.005127420218871967,0.4476926609015076,0.09948725797811281,0.4476926609015076
1,7,36,655,14,0.09657687074582548,4,4,0.85,14,200,500,"3-Random","3-(R,S)",0.002463031108905817,0.0799577391444934,0.0003331953209797742,0.04914395248065139,0.2385487972646545,0.25771347666765393,0.45459377358704023
2,10,26,442,10,0.08820094613899247,4,4,0.85,8,200,500,"3-Random","1-(s,Q)",0.001696445214859087,0.08521056467862032,0.001000236572976736,0.03936274209778933,0.2504727386620354,0.2395076076319928,0.47065691160818246
2,7,3,466,10,0.027860212640321153,4,4,0.85,4,200,500,"1-DailyPurchase","3-(R,S)",6.5132936323035314e-06,0.06697680095387418,0.018261725097207828,0.005466685708297472,0.21066344383503907,0.10629178693447938,0.6775780835221842
