buy1,buy2,succes_ratio,spoil_ratio
1,5,0.5146443514644351,0.8703204047217538
3,4,0.7407407407407407,0.45454545454545453
1,3,0.4288354898336414,0.2202729044834308
5,4,0.8530020703933747,0.6899441340782123
5,7,0.9344262295081968,0.7603106125970664
6,0,0.36344969199178645,0.9071772071499864
3,4,0.6972111553784861,0.267223382045929
1,4,0.508,0.7463031423290203
2,9,0.5837837837837838,0.8791167096676279
9,8,1.0,0.8813892851871894
1,3,0.44550669216061184,0.4068047337278107
5,0,0.33880903490759756,0.9075406931679769
1,9,0.5378486055776892,0.903701835151668
6,2,0.5730994152046783,0.8377885783718104
2,4,0.599250936329588,0.45851917930419267
6,1,0.5018867924528302,0.8686526743398781
7,0,0.34334763948497854,0.9133412537563771
4,1,0.5069124423963134,0.8351444473893453
8,2,0.6120689655172413,0.8755186721991701
9,3,0.7467532467532467,0.8845622574491877
1,2,0.3736951983298539,0.21105527638190955
2,5,0.6695278969957081,0.7662747347289934
0,4,0.3458498023715415,0.6977837474815313
5,0,0.3187022900763359,0.911108739728951
8,4,0.9315068493150684,0.8488776181083874
8,1,0.5134615384615384,0.8945066748503913
7,0,0.33636363636363636,0.9169457926037323
3,9,0.8341463414634146,0.8818977804927713
6,8,1.0,0.8582522748666458
0,9,0.3320964749536178,0.9019447844417244
9,2,0.6470588235294118,0.8910141462442718
7,5,0.9898580121703854,0.8090532781412739
4,9,0.8602794411177644,0.8664004219727225
2,5,0.5819209039548022,0.7285223367697594
2,6,0.6481481481481481,0.8575498575498576
7,0,0.3,0.9193226450325156
1,1,0.26356589147286824,0.23282442748091603
8,6,0.9817518248175182,0.8266153534535143
8,5,0.9681274900398407,0.867590206185567
1,9,0.4846153846153846,0.9019755409219191
8,2,0.6087786259541985,0.8916417910447761
2,7,0.596039603960396,0.8701907705424704
4,7,0.8413654618473896,0.8264887063655031
6,3,0.7315573770491803,0.8282246771433017
5,6,1.0,0.7809753575736688
1,1,0.26552462526766596,0.2462686567164179
9,6,0.9920477137176938,0.8808859331393623
4,3,0.6976284584980237,0.3938356164383562
0,0,0.0,0.0
2,2,0.4060721062618596,0.1892430278884462
