,"1-(s,Q)",1-DailyPurchase,"2-(s,S)",2-PeriodicallyPurchase,"3-(R,S)",3-Random,4-Random,Clients_N,DS_D,Demand_W,Distr1,Distr2,Fact,HC,K,Lt0,Lt1,MA,SS_%,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative
7482,0.0,1.0,0.0,0.0,1.0,0.0,0.0,386.0,4.0,12.0,13.0,12.0,4.0,0.0228226286219682,200.0,4.0,4.0,500.0,0.85,0.0802024377702835,0.025004364883094,0.0001235732958612,0.0038601553645343,0.243783873642412,0.609641355934685,0.1427146150583686
7483,1.0,1.0,0.0,0.0,0.0,0.0,0.0,731.0,0.0,1.0,9.0,21.0,2.0,0.0347176031967632,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0,0.3043406248890887,0.6087049108568859,0.0869544642540253
7484,0.0,0.0,0.0,1.0,1.0,0.0,0.0,140.0,5.0,16.0,1.0,3.0,1.0,0.0955323145358732,200.0,4.0,4.0,500.0,0.85,0.0398842857047908,0.0408783105440953,0.0008793928806842,0.0434543823217254,0.2247978363803832,0.5442164973326968,0.1875312839651944
7485,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,0.0,18.0,1.0,2.0,4.0,0.0364940802010837,200.0,4.0,4.0,500.0,0.85,0.0024274807726619,0.0382246809523845,0.0,0.0364584453895619,0.2561417638316796,0.5281086748874836,0.1792911158912747
7486,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,5.0,20.0,9.0,9.0,3.0,0.0843301310571772,200.0,4.0,4.0,500.0,0.85,0.0782510017790931,0.0444723014904847,0.0007704134176012,0.0122347910323876,0.2822361608057265,0.5455846075455022,0.1599444406163835
7487,0.0,0.0,0.0,1.0,1.0,0.0,0.0,122.0,2.0,15.0,5.0,3.0,3.0,0.0846716592642499,200.0,4.0,4.0,500.0,0.85,0.0577365168209819,0.0264696723637739,0.0002022334664029,0.0208220296096037,0.2067123312495553,0.6787668414856617,0.0936987976551792
7488,1.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,8.0,28.0,5.0,2.0,1.0,0.0757891343498367,200.0,4.0,4.0,500.0,0.85,1.582974982298078e-05,0.0054960957557086,0.000547934245466,0.0398331169952091,0.1423794347487861,0.6977873858742074,0.1200000623817974
7489,0.0,1.0,1.0,0.0,0.0,0.0,0.0,121.0,4.0,29.0,22.0,19.0,4.0,0.0140191340755964,200.0,4.0,4.0,500.0,0.85,0.1408063302185528,0.0236731877719768,5.127221685084712e-05,0.0021040855535446,0.3063221906075005,0.5415661775571715,0.1500075462817832
7490,0.0,1.0,0.0,0.0,0.0,0.0,1.0,176.0,0.0,1.0,7.0,11.0,4.0,0.0532081849499445,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0,0.2307692307692307,0.6923076923076923,0.0769230769230769
7491,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,2.0,13.0,3.0,5.0,1.0,0.0764918228381943,200.0,4.0,4.0,500.0,0.85,0.1347695880699181,0.3905389797071147,0.0002486607840629,0.0148845780527703,0.4278213373336778,0.2872141485713347,0.2700799360422169
7492,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,21.0,3.0,5.0,4.0,0.0291949815421482,200.0,4.0,4.0,500.0,0.85,0.1691129546904914,0.5594072505953956,0.0002665245202558,0.0103791834940805,0.3458269743877243,0.381391389208999,0.2624024529091959
7493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1452.0,5.0,13.0,22.0,31.0,4.0,0.0465982644619575,200.0,4.0,4.0,500.0,0.85,0.0432513210876284,5.560865972602207e-05,0.000324898911403,0.0042303274757098,0.0959873150907457,0.8320882574443227,0.0676940999892217
7494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,2.0,9.0,2.0,1.0,1.0,0.0576105323559108,200.0,4.0,4.0,500.0,0.85,0.1037155897874768,0.3173328753595809,0.0001036153797105,0.0126472936102274,0.3909159224328827,0.4084988179065456,0.187937966050344
7495,0.0,1.0,0.0,0.0,1.0,0.0,0.0,188.0,9.0,26.0,7.0,13.0,3.0,0.0923967146899911,200.0,4.0,4.0,500.0,0.85,0.0796750615588052,0.0054356964104168,0.0007509348445717,0.0049139437191462,0.125450059515735,0.774162138574196,0.0954738581909226
7496,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1310.0,1.0,3.0,17.0,50.0,4.0,0.0738653300868447,200.0,4.0,4.0,500.0,0.85,0.0719073221193179,0.0028023824016136,0.0017968357919158,0.0426614599043636,0.2069724754482672,0.5825934773352852,0.1677725873120839
7497,0.0,1.0,0.0,0.0,1.0,0.0,0.0,59.0,3.0,7.0,2.0,3.0,3.0,0.0726136619319916,200.0,4.0,4.0,500.0,0.85,0.1206385279767155,0.1469858901666207,0.0004465875622537,0.0036625025792271,0.2698563520115155,0.5921490085556399,0.1343321368536175
7498,0.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,9.0,6.0,5.0,2.0,0.0350602651334133,200.0,4.0,4.0,500.0,0.85,0.1219898862883489,0.0890668852641231,0.0,0.0015493056804608,0.482661179674493,0.3541545604641403,0.1616349541809058
7499,0.0,0.0,0.0,0.0,1.0,1.0,0.0,182.0,10.0,21.0,2.0,6.0,2.0,0.0229012479061707,200.0,4.0,4.0,500.0,0.85,0.0629540592245133,0.0477841657722253,0.0007382366339955,0.0251299062702325,0.2978923645940887,0.4168451993338999,0.2601325298017787
7500,1.0,0.0,0.0,1.0,0.0,0.0,0.0,133.0,2.0,5.0,2.0,5.0,2.0,0.0946555937723757,200.0,4.0,4.0,500.0,0.85,0.0771238400517819,0.0164000689302132,0.0022144459121585,0.0533254195920465,0.14564239085454,0.5624460117592349,0.2385861777941784
