Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,8,11,544,5,0.03644506494397053,4,4,0.85,1,200,500,"3-Random","1-(s,Q)",0.0011525036482197325,0.10389727633471568,0.0037707075442391653,0.027760826030446207,0.32304938071889044,0.26016853817676056,0.3890212550739028
3,5,19,198,6,0.02909389196646882,4,4,0.85,7,200,500,"3-Random","4-Random",0.0012452652824241754,0.10414660514795801,0.17964923825656842,0.019107408682907348,0.23807577770995822,0.27864747246272425,0.46416934114441016
2,10,8,1184,2,0.08565883368812914,4,4,0.85,4,200,500,"3-Random","3-(R,S)",0.0016480140761364662,0.07689658146184476,0.036714618795812316,0.0749654878869328,0.2525673612826007,0.13662944459603865,0.535837706234428
1,8,23,554,6,0.09818623616573668,4,4,0.85,7,200,500,"3-Random","2-(s,S)",0.0014791214523923089,0.07208663128005324,0.11243879877459616,0.046881722335257704,0.30455668396409885,0.263895184950177,0.3846664087504665
2,9,32,75,4,0.0377560102552532,4,4,0.85,10,200,500,"1-DailyPurchase","4-Random",0.0031692896606767868,0.1288802403928888,0.6630745579933494,0.011260445812381482,0.4564520361171277,0.3264288175587189,0.20585870051177188
1,8,18,53,13,0.05663127839000671,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","4-Random",0.0003889776030790648,0.0784542777828449,0.14815739918203163,0.018563847036403514,0.4445064340242188,0.3094881379930261,0.2274415809463517
3,4,17,26,8,0.07945376678204519,4,4,0.85,6,200,500,"3-Random","3-(R,S)",0.0034322390211254314,0.15644631570907563,0.40023552024255876,0.014586863183440744,0.29869038611030196,0.3351031420046848,0.35161960870157244
1,2,25,472,4,0.01928853246922304,4,4,0.85,6,200,500,"3-Random","1-(s,Q)",0.0019280178951086241,0.1481130241098385,0.19847393937479338,0.04542387377458796,0.2048446245278126,0.4902803529951284,0.2594511487024711
2,4,28,1075,6,0.09004762680311852,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.005267631633727112,0.175616588265022,0.00021694210022614487,0.07307762125559256,0.08900629481645417,0.19352942104595988,0.6443866628819934
2,10,15,1258,9,0.07134481077108609,4,4,0.85,10,200,500,"3-Random","1-(s,Q)",0.0015347238794327512,0.05169396381277292,7.657410647732366e-06,0.04955034423462592,0.12774122502320767,0.10271983600743587,0.7199885947347304
2,3,17,1123,10,0.06183791754508527,4,4,0.85,15,200,500,"2-PeriodicallyPurchase","4-Random",0.0056519932904585965,0.1706325058903027,0.04735722211578735,0.09091737787188996,0.12162942960538155,0.17207292314194786,0.6153802693807806
2,2,28,1172,9,0.03779054106892017,4,4,0.85,14,200,500,"3-Random","1-(s,Q)",0.004822330716376715,0.2081890845494498,0.009379542994334201,0.08756043533436059,0.07848412924447458,0.29212744024851744,0.5418279951726475
1,6,27,944,5,0.03399331635842941,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.0010543958465112208,0.09698605861378505,0.008068046154980092,0.036035873900975374,0.2915943358083299,0.30329878962026835,0.36907100067042636
3,1,2,420,3,0.06758730672876297,4,4,0.85,15,200,500,"1-DailyPurchase","2-(s,S)",0.001955758510476755,0.053470225299422094,0.06120512141096846,0.14849247663099036,0.20244519019808072,0.15316679045125425,0.49589554271967456
