Fact,Distr1,Distr2,Clients_N,Demand_W,DS_D,HC,Lt0,Lt1,SS_%,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,5,9,431,13,1,0.03558617856291371,4,4,0.85,200,500,"1-DailyPurchase","2-(s,S)",0.0007532003248855835,0.10866641460893149,0.021603958243975943,0.005842581580242746,0.24126219004897462,0.1922690084324271,0.5606262199383555
1,2,2,13,9,3,0.015809296839153105,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.00022109663933108216,0.24208222278473474,0.6044677955276424,0.002404547383215986,0.4708446040017502,0.22458091345452616,0.30216993516050755
3,6,17,412,10,0,0.07325158386552699,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.0005726945065813041,0.08729564211179196,0.003650422844643568,0.012284353371670512,0.12157108949847296,0.1136976020093152,0.7524469551205413
1,5,1,3,2,0,0.05864236248627521,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.0,0.0,0.01639344262295082,0.2459016393442623,0.4918032786885246,0.2459016393442623
1,4,5,208,13,1,0.07837079102366618,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0004747340446859458,0.04836631354194341,0.0007603753849823444,0.05893932341839063,0.21696831034400355,0.1635296976014548,0.5605626686361511
2,2,6,181,10,0,0.052356310163503096,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.0006104566990706672,0.11013810701059383,0.04018475833494898,0.0028133708897738396,0.1490667548296636,0.122187874350296,0.7259319999302666
2,3,4,52,19,5,0.056198094843270006,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.0010034858623064636,0.10084933003896228,0.024878058814605686,0.0229795087654258,0.2893602361348712,0.21582952057139052,0.4718307345283125
2,5,10,77,15,3,0.030789267272714374,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.00019667198559631148,0.09933477362662942,0.09166241596031283,0.003480840025040774,0.285486642318058,0.2237337319749914,0.48729878568190993
4,19,31,1009,18,0,0.057604454917592404,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.0004380905150429742,0.05356276754011481,9.741538932240742e-05,0.01664583387231933,0.08928293874733069,0.08099832738914171,0.8130728999912084
2,11,4,81,24,10,0.032313741738925025,4,4,0.85,200,500,"1-DailyPurchase","2-(s,S)",0.00020420077019725794,0.10993645056719153,0.05368236418841573,0.005478748644529543,0.26254019384107796,0.13806982936193313,0.5939112281524594
3,10,1,41,2,0,0.09998306316768522,4,4,0.85,200,500,"3-Random","4-Random",0.0,0.0,0.0,0.0136327185244587,0.16439454691259023,0.32878909382518046,0.49318364073777066
1,3,3,64,1,0,0.02758513475692114,4,4,0.85,200,500,"3-Random","2-(s,S)",0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,1,2,21,2,0,0.04112631709167427,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.0,0.0,0.025522041763341066,0.24361948955916474,0.4872389791183295,0.24361948955916474
4,18,51,737,17,0,0.09952014917063313,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0006199221046536294,0.06260079374891776,0.0009775278927893808,0.018758834683183557,0.14708975369885255,0.11928177601151571,0.7148696356064482
4,2,3,91,13,3,0.02350139381599127,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0007357758205179154,0.13188518498128166,0.16209812647258134,0.005176902872070158,0.276026275877577,0.21301411873902582,0.5057827025113271
3,1,1,20,28,11,0.06576656643908024,4,4,0.85,200,500,"3-Random","2-(s,S)",0.0002348130015751173,0.06638718388440976,0.13499457517386124,0.02272365268422153,0.32077359204369166,0.15307480917064237,0.5034279461014445
2,11,29,1342,27,13,0.03333225916575688,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0009583363258316597,0.055068888401108324,0.0005997207722765056,0.03659350808540268,0.21777331031545444,0.16667265379038834,0.5789605278087544
1,1,2,2,11,3,0.04757507693052359,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",0.00021244954323348204,0.1252911664576241,0.5442170857824723,0.0017092509600506684,0.4274362037311698,0.17520944737960284,0.39564509792917674
2,7,17,353,28,7,0.010706886071958415,4,4,0.85,200,500,"3-Random","3-(R,S)",0.000550259199027437,0.09232900135928213,0.03691879424418373,0.014667429437678481,0.2953727832292814,0.22468819721583275,0.4652715901172074
4,3,2,42,5,2,0.0632576694382094,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.0008748321719531236,0.10977695972282374,0.1361097267214885,0.01890839766555648,0.29085081415877817,0.19911923692222278,0.4911215512534427
1,2,4,98,11,0,0.014459720886944433,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0015116931915350618,0.13399453324826896,0.11674804116911165,0.027360410023323907,0.3831783603470944,0.268317574483215,0.32114365514636656
3,16,46,1176,5,1,0.07630451426145042,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.001466008920567195,0.07686427672648945,0.001891662124053677,0.02967453861496125,0.24238157994395212,0.20633052084122297,0.5216133605998637
3,13,22,622,7,1,0.07378459685013615,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0010967103615781234,0.06543725272010388,0.0015143515079386264,0.026897575217584138,0.17270542679179007,0.14744575080727665,0.6529512471833491
2,9,4,172,19,8,0.018508678167017165,4,4,0.85,200,500,"3-Random","4-Random",0.0003163655314193155,0.0654012117767535,0.026717176379483617,0.016494321271782908,0.2655733315759472,0.14943419255020823,0.5684981546020618
3,4,2,87,21,3,0.019030131870287785,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.00016718632146854928,0.04688159299633452,0.0649655938413043,0.02514393743164532,0.29770033488632164,0.13545938520961026,0.5416963424724229
